Code CIS,Designation de lelement pharmaceutique,Code de la substance,Dénomination de la substance,Dosage de la substance,Reference de ce dosage,Nature du composant,Numero de liaison SA/FT
60018896,comprimé,46744,TOSILATE DE PÉRINDOPRIL,10 mg,un comprimé,SA,1
60019101,collyre,473,CROMOGLICATE DE SODIUM,2 g,100 ml,SA,1
60019329,comprimé,3225,HYDROGÉNOSUCCINATE DE DOXYLAMINE,15 mg,un comprimé,SA,1
60019350,gel,4587,ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES,7 g (Teinture mère),100 g de gel,SA,1
60019813,gélule,64391,LÉNALIDOMIDE,"2,5 mg",une gélule,SA,1
60019927,comprimé,9231,AMISULPRIDE,100 mg,un comprimé,SA,1
60020616,granules,17378,FICUS CARICA MACÉRAT GLYCÉRINÉ POUR PRÉPARATIONS HOMÉOPATHIQUES,4DH à 6DH,un comprimé,SA,17
60021127,comprimé,977,SPIRONOLACTONE,"75,00 mg",un comprimé,SA,1
60021216,comprimé,1743,DIPYRIDAMOLE,75 mg,un comprimé,SA,1
60021312,mousse,614,PROPIONATE DE CLOBÉTASOL,500 microgrammes,1 g de mousse,SA,1
60021771,solution,5558,TÉTRADÉCYL SULFATE DE SODIUM,30 mg,1 ml de solution injectable,SA,1
60021928,gélule,50540,SILODOSINE,8 mg,une gélule,SA,1
60022275,dispositif,4458,TRINITRINE,"15,70 mg",un dispositif,SA,1
60023270,collyre,51528,DORZOLAMIDE,20 mg,1 mL de collyre,FT,1
60025054,comprimé,82922,RIOCIGUAT,"1,50 mg",un comprimé,SA,1
60025314,poudre,79576,MACROGOL 3350,"8,5 g",un sachet,SA,1
60025403,comprimé,2202,PARACÉTAMOL,1000 mg,un comprimé,SA,1
60026494,comprimé,63947,PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE),20 mg,un comprimé,SA,1
60026957,comprimé,1976,GLIBENCLAMIDE,5 mg,un comprimé,SA,1
60027685,gélule,4000,PENTOSANE POLYSULFATE SODIQUE,100 mg,une gélule,SA,1
60028050,gélule,16849,GABAPENTINE,400 mg,une gélule,SA,1
60028495,comprimé jour,2202,PARACÉTAMOL,500 mg,un comprimé,SA,5
60028552,solution,6492,BÉSILATE D'ATRACURIUM,25 mg,une ampoule,SA,1
60029394,comprimé,98159,TADALAFIL,10 mg,un comprrimé,SA,1
60030699,poudre,376,UROKINASE (MAMMIFERE/HUMAIN/URINE),100 000 U.I.,un flacon,SA,1
60030980,mélange de plantes,213,SÉNÉ (FEUILLE DE),"0,72 g","un sachet-dose de 1,8 g",SA,1
60031071,comprimé,96835,ARIPIPRAZOLE,10 mg,un comprimé,SA,1
60033389,poudre,2952,SULFATE DE BLÉOMYCINE,,,SA,1
60033510,poudre,10157,CHLORHYDRATE DE VANCOMYCINE,125 mg,un flacon,SA,1
60034085,solution,2667,MIDAZOLAM,10 mg,2 ml de solution,FT,1
60034644,suspension,928,CHLORURE DE ZINC,"2,50 mg",1 ml de suspension injectable I.M.,SA,3
60034936,gel,22692,KÉTOCONAZOLE,120 mg,un sachet-dose 6 g,SA,1
60035461,pastille,24245,CHLORHYDRATE D'AMBROXOL,20 mg,une pastille,SA,1
60035714,solution,16648,GOLIMUMAB ,50 mg,une seringue préremplie,SA,1
60035924,solution,2543,OXOMÉMAZINE,"0,033 g",100 ml de solution buvable,SA,1
60037327,solution,3437,SULFATE DE PROTAMINE,1 000 Unités Antihéparine,1 ml de solution injectable,SA,1
60037380,comprimé,15734,VALSARTAN,160 mg,un comprimé,SA,1
60038468,comprimé,37011,LAMOTRIGINE,200 mg,un comprimé,SA,1
60038525,poudre,24381,BUDÉSONIDE,320 microgrammes,une dose délivrée,SA,1
60040145,pommade,929,OXYDE DE ZINC,"5,00 g",100 g de pommade,SA,1
60040469,collyre,1379,CÉTHEXONIUM (BROMURE DE),"0,1 mg",un récipient unidose,SA,1
60040572,solution,51742,ALBUMINE HUMAINE ,200 mg,1 mL de solution,SA,1
60041165,granules,6427,GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 6DH à 60DH,1 mL de solution,SA,14
60041560,comprimé,86571,CHLORHYDRATE DE TRAMADOL,150 mg,un comprimé,SA,1
60042395,comprimé,4595,CACTUS GRANDIFLORUS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
60043038,gaz,44570,OXYGÈNE,50 % mole/mole,une bouteille,SA,2
60043077,comprimé,62004,OXCARBAZÉPINE,300 mg,un comprimé,SA,1
60044161,comprimé,33440,OCIMUM BASILICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
60044492,comprimé,33803,CHLORHYDRATE DE DONÉPÉZIL,5 mg,un comprimé,SA,1
60044784,comprimé,95609,LÉVÉTIRACÉTAM,250 mg,un comprimé,SA,1
60044841,gélule,981,ACIDE URSODÉOXYCHOLIQUE,250 mg,une gélule,SA,1
60044987,comprimé,91877,CAPÉCITABINE,500 mg,un comprimé,SA,1
60045217,solution,85821,LÉVOSIMENDAN,"2,5 mg",1 ml de solution à diluer pour perfusion,SA,6
60045288,poudre,763,CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,6 DH 33%,1 ml de solution à diluer pour perfusion,SA,2
60046529,sirop,92419,PHOLCODINE MONOHYDRATÉE,131 mg,100 ml de sirop,SA,1
60047143,lyophilisat,731,ALMITRINE (MÉSILATE D'),"0,015 g",un flacon,SA,1
60047182,comprimé,5407,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,54 mg,un comprimé,SA,1
60047225,solution,50681,DARATUMUMAB ,1 800 mg,un flacon de 15 mL,SA,1
60047271,collyre,33474,LATANOPROST,50 microgrammes,1 ml,SA,1
60048672,comprimé,1257,DICHLORHYDRATE DE BÉTAHISTINE,24 mg,un comprimé,SA,1
60049895,comprimé,11532,RAMIPRIL,10 mg,un comprimé,SA,1
60051024,granules,1851,ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH,un comprimé,SA,4
60051234,capsule,36065,DUTASTÉRIDE,"0,5 mg",une capsule,SA,1
60051704,comprimé,819,INDAPAMIDE,"1,25 mg",un comprimé,SA,2
60052254,granulés,3048,SODIUM (PHÉNYLBUTYRATE DE),940 mg,1 g de granulés,SA,1
60053064,comprimé,4813,GLUCONATE DE COBALT,"0,240 mg",un comprimé,SA,1
60054077,poudre,7277,LEUPRORÉLINE,"1,79 mg",une seringue pré-remplie,FT,1
60054312,gélule,50540,SILODOSINE,4 mg,une gélule,SA,1
60054376,poudre,141,DACARBAZINE,1000 mg,un flacon,SA,1
60056815,comprimé,769,DIOSMINE,600 mg,un comprimé,SA,1
60058008,comprimé,15734,VALSARTAN,160 mg,un comprimé,SA,2
60058378,comprimé,977,SPIRONOLACTONE,75 mg,un comprimé,SA,1
60058517,comprimé,40435,CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ,,,SA,1
60058620,comprimé,35487,OLAPARIB,150 mg,un comprimé,SA,1
60059081,comprimé,5407,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,10 mg,un comprimé,SA,1
60061171,gélule,2742,LYMÉCYCLINE,226 mg,une gélule,SA,1
60061449,gaz,44570,OXYGÈNE,"q.s. (sous une pression de 10 à 12 bar, à -150 °C)",une gélule,SA,1
60061602,gélule,39422,PRÉGABALINE,200 mg,une gélule,SA,1
60061709,comprimé,10171,SIMVASTATINE,20 mg,un comprimé,SA,2
60063973,comprimé,72313,ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,4
60064527,comprimé,33609,FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE,500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine,un comprimé,SA,1
60064872,gélule,28886,BROMHYDRATE DE GALANTAMINE,,,SA,1
60065198,comprimé,7958,CHLORHYDRATE DE CÉLIPROLOL,200 mg,un comprimé,SA,1
60065294,comprimé,38524,PANTOPRAZOLE,20 mg,un comprimé,FT,1
60065390,comprimé,39396,FUMARATE DE FÉSOTÉRODINE,8 mg,un comprimé,SA,1
60067562,solution,952,KETOTIFÈNE (FUMARATE DE),"0,0276 g",100 ml,SA,2
60068002,comprimé,78924,OXALATE D'ESCITALOPRAM,,,SA,1
60068034,gélule,46403,MILNACIPRAN,"21,77 mg",une gélule,FT,1
60068251,comprimé,39727,AMLODIPINE,10 mg,un comprimé,FT,2
60068333,comprimé,39727,AMLODIPINE,5 mg,un comprimé,FT,2
60069307,gélule,70638,NITISINONE,20 mg,une gélule,SA,1
60069339,granulés,80102,MONTÉLUKAST,4 mg,un sachet-dose,FT,1
60070359,capsule,706,CLOTRIMAZOLE,500 mg,une capsule,SA,1
60070665,solution,29076,MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ,200 microgrammes,une seringue préremplie,SA,1
60071190,comprimé,10171,SIMVASTATINE,"10,0 mg",un comprimé,SA,1
60071233,comprimé,28847,DARUNAVIR,600 mg,un comprimé,FT,1
60071379,comprimé,1786,BÊTA-ESTRADIOL,"2,00 mg",un comprimé,FT,1
60071952,comprimé,38524,PANTOPRAZOLE,"40,00 mg",un comprimé,FT,1
60072050,comprimé,2143,THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
60073451,comprimé,2423,NAFTAZONE,"30,00 mg",un comprimé,SA,1
60073608,comprimé,37849,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,5 mg,un comprimé,SA,1
60073907,comprimé,33803,CHLORHYDRATE DE DONÉPÉZIL,10 mg,un comprimé,SA,1
60073914,comprimé,2092,IBUPROFÈNE,400 mg,un comprimé,SA,1
60073960,ovule,24140,PRASTÉRONE,"6,5 mg",une ovule,SA,1
60074432,gélule,24519,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),160 mg,une gélule,SA,1
60074795,solution,15614,PROTÉINES PLASMATIQUES HUMAINES ,45 - 70 mg,1 ml de solution,SA,1
60074934,solution,1802,CHLORHYDRATE D'ÉTHAMBUTOL,1000 mg,une ampoule de 10 ml,SA,1
60075064,pâte,663,DIOXYDE DE TITANE,"0,20 g",100 g de pâte pour application cutanée,SA,3
60075192,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,,,SA,1
60075370,comprimé,1901,CITRATE DE FENTANYL,,,SA,1
60075452,gélule,39422,PRÉGABALINE,100 mg,une gélule,SA,1
60076860,gélule,64391,LÉNALIDOMIDE,20 mg,une gélule,SA,1
60077460,comprimé,15075,ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 5DH à 60DH,une gélule,SA,18
60077574,comprimé,7436,FUMARATE DE BISOPROLOL,"2,5 mg",un comprimé,SA,1
60078078,comprimé,196,LÉVONORGESTREL,"1,50 mg",un comprimé,SA,1
60078765,comprimé,38607,QUÉTIAPINE (HÉMIFUMARATE DE),,,SA,1
60079721,gélule,24519,PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE),160 mg,une gélule,SA,1
60080218,suppositoire,2640,MÉSALAZINE,500 mg,un suppositoire,SA,1
60080232,solution,21962,COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE,540 mg,1 ml de solution injectable,SA,3
60082023,comprimé,2202,PARACÉTAMOL,500 mg,un comprimé,SA,1
60082062,solution,17563,ACÉTATE DE GLATIRAMÈRE,20 mg,une seringue préremplie de 1 ml,SA,1
60082233,collyre,33474,LATANOPROST,50 microgrammes,1 mL de collyre,SA,1
60082450,solution,2345,MÉTHOTREXATE,"12,5 mg","un stylo injecteur prérempli de 0,25 mL de solution",SA,1
60082895,comprimé,57854,LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 5DH à 60DH,"un stylo injecteur prérempli de 0,25 mL de solution",SA,18
60082938,solution,788,CHLORHYDRATE D'AMITRIPTYLINE,,,SA,1
60083132,comprimé,17723,OLANZAPINE,10 mg,un comprimé,SA,1
60084049,poudre,69518,CHLORHYDRATE DE GLUCAGON ,,,SA,1
60085553,comprimé,95484,AMBRISENTAN,10 mg,un comprimé,SA,1
60088834,solution,332,PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,250 mg (6 DH),un récipient unidose de 1 mL,SA,3
60089217,solution,47903,AFLIBERCEPT ,25 mg,1 ml de solution,SA,1
60091086,gélule,2202,PARACÉTAMOL,500 mg,une gélule,SA,1
60092590,comprimé,3885,LÉVODOPA,250 mg,un comprimé,SA,2
60092811,poudre,6197,TRIPTORÉLINE,"11,25 mg",une unité de prise,FT,1
60093639,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,"9,121 mg",un comprimé,SA,1
60094125,gélule,70833,TRANDOLAPRIL,"0,5 mg",une gélule,SA,1
60095056,pâte,2045,HEXÉTIDINE,"0,100 g",100 g de pâte,SA,1
60095095,capsule,1,CHLORHYDRATE DE LOPÉRAMIDE,2 mg,une capsule,SA,1
60095526,comprimé,39196,FOSINOPRIL SODIQUE,"10,0 mg",un comprimé,SA,1
60095729,comprimé,38315,ALFA-AMYLASE ,3000 U.CEIP,un comprimé,SA,1
60097203,comprimé,73208,PRAVASTATINE SODIQUE,10 mg,un comprimé,SA,1
60097833,gel,614,CLOBÉTASOL (PROPIONATE DE),"0,05 g",100 g,SA,1
60099738,comprimé,5248,AMOXICILLINE ANHYDRE,500 mg,un comprimé,FT,1
60100877,collyre,22466,BÉTAXOLOL (CHLORHYDRATE DE),"0,56 g",100 ml,SA,2
60101299,granules,52080,HEKLA LAVA POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 6DH à 60DH,100 ml,SA,17
60101406,comprimé,5248,AMOXICILLINE,1000 mg,un comprimé,FT,1
60104893,crème,65703,"QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",2CH à 30CH et 4DH à 60DH (crème à 4 %),un comprimé,SA,18
60105162,comprimé,16849,GABAPENTINE,600 mg,un comprimé,SA,1
60105568,solution,38741,CHLORHYDRATE DE ROPIVACAÏNE MONOHYDRATÉ,,,SA,1
60106606,poudre,80439,MOROCTOCOG ALFA ,250 UI,une seringue préremplie,SA,1
60106848,comprimé,1807,ÉTHINYLESTRADIOL,"0,02 mg",un comprimé,SA,1
60106862,comprimé,31416,IRBÉSARTAN,300 mg,un comprimé,SA,1
60107747,solution,688,ACIDE LACTIQUE,"16,7 g",100 g,SA,1
60107932,gélule,4204,CHARBON ACTIVÉ,162 mg,une gélule,SA,1
60108518,gélule,5087,CHLORHYDRATE D'OXYCODONE,20 mg,une gélule,SA,1
60108678,comprimé,32925,CHLORHYDRATE DE TERBINAFINE,"281,25 mg",un comprimé,SA,1
60108870,comprimé,21053,CAPTOPRIL,50 mg,un comprimé,SA,1
60109303,pommade,6825,MUPIROCINE,2 g,100 g de pommade,SA,1
60110031,solution,4401,EAU POUR PRÉPARATIONS INJECTABLES,100 ml,100 ml de solution pour préparation injectable,SA,1
60110896,comprimé,68776,ENTÉCAVIR MONOHYDRATÉ,,,SA,1
60111101,comprimé,3984,CHLORHYDRATE DE PYRIDOXINE,5 mg,un comprimé,SA,2
60111197,comprimé,25715,ACICLOVIR,800 mg,un comprimé,SA,1
60111471,suspension,93657,RACÉCADOTRIL,4 mg,1 mL de suspension,SA,1
60111553,solution,11673,URAPIDIL,50 mg,une ampoule de 10 mL,SA,1
60111603,crème,9012,MEDULOSS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH (crème à 4 %),une ampoule de 10 mL,SA,18
60111813,comprimé,3682,MALÉATE D'ÉNALAPRIL,20 mg,un comprimé,SA,1
60113814,comprimé,19809,ATORVASTATINE,"80,000 mg",un comprimé,FT,1
60114485,comprimé,47950,PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
60116447,comprimé,71861,GLIMÉPIRIDE,1 mg,un comprimé,SA,1
60116810,comprimé,819,INDAPAMIDE,"0,625 mg",un comprimé,SA,2
60117638,comprimé,3613,PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 6DH à 60DH,un comprimé,SA,17
60118715,comprimé,2171,PREDNISONE,1 mg,un comprimé,SA,1
60120709,comprimé,1097,ALLOPURINOL,"200,00 mg",un comprimé,SA,1
60120812,solution,20915,IRINOTÉCAN (CHLORHYDRATE D') TRIHYDRATÉ,20 mg,1 mL de solution,SA,1
60121234,comprimé,84273,AMYLIUM NITROSUM POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,1 mL de solution,SA,18
60122628,comprimé,73594,CANDÉSARTAN CILEXÉTIL,8 mg,un comprimé,SA,1
60122699,comprimé,87487,DÉFÉRASIROX,90 mg,un comprimé,SA,1
60122717,poudre,55721,CARBONATE DE SÉVÉLAMER,"2,4 g",un sachet,SA,1
60123363,comprimé,32743,FINASTÉRIDE,5 mg,un comprimé,SA,1
60123598,comprimé,2134,HEPAR SULFUR POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
60124020,solution,27179,EPTIFIBATIDE,2 mg,1 ml,SA,1
60124472,comprimé,9586,TERT-BUTYLAMINE DE PÉRINDOPRIL,4 mg,un comprimé,SA,1
60124999,comprimé,52920,HYDROGÉNOSULFATE DE CLOPIDOGREL,,,SA,1
60125332,comprimé,50159,URÉE POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
60125777,comprimé,5760,TARTRATE DE CYAMÉMAZINE,"146,400 mg",un comprimé,SA,1
60126377,crème,25715,ACICLOVIR,5 g,100 g de crème,SA,1
60126594,comprimé,17723,OLANZAPINE,5 mg,un comprimé,SA,1
60126612,comprimé,258,NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES,4 DH 5 mg,un comprimé,SA,1
60126982,comprimé,32050,SUCCINATE DE SOLIFÉNACINE,5 mg,un comprimé,SA,1
60127671,capsule,2969,DIMÉTICONE,300 mg,une capsule,SA,1
60128339,comprimé,32050,SUCCINATE DE SOLIFÉNACINE,10 mg,un comprimé,SA,1
60129665,comprimé,2092,IBUPROFÈNE,400 mg,un comprimé,SA,1
60129957,solution,2345,MÉTHOTREXATE,"17,5 mg","un stylo prérempli de 0,35 ml de solution",SA,1
60130062,solution,4179,DIPROPIONATE DE BÉCLOMÉTASONE,100 microgrammes,une dose mesurée,SA,2
60130386,pommade,129,"BENJOIN DU LAOS, DIT DU SIAM","0,100 g",100 g de pommade,SA,1
60130742,comprimé,3339,OXALATE ACIDE DE NAFTIDROFURYL,200 mg,un comprimé,SA,1
60130906,comprimé,48528,LOSARTAN POTASSIQUE,50 mg,un comprimé,SA,1
60131132,comprimé,20740,SITAGLIPTINE,50 mg,un comprimé,FT,1
60131805,solution,83934,CHLORHYDRATE DE ROPIVACAÏNE,2 mg,1 ml de solution injectable,SA,1
60132330,solution,95609,LÉVÉTIRACÉTAM,100 mg,1 ml,SA,1
60132572,suppositoire,532,GLYCÉROL,"0,690 g",un suppositoire,SA,1
60132654,comprimé,58134,RANUNCULUS SCELERATUS POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 7DH à 60DH,un suppositoire,SA,18
60132743,solution,9122,ZIDOVUDINE,200 mg,un flacon,SA,1
60133432,comprimé,3229,BROMHYDRATE DE DEXTROMÉTHORPHANE,30 mg,un comprimé,SA,1
60133973,gélule,66494,CHLORHYDRATE DE TAMSULOSINE,"0,4 mg",une gélule,SA,1
60135981,collyre,81904,BIMATOPROST,"0,3 mg",1 ml,SA,1
60136275,comprimé,8960,GOSSYPIUM HERBACEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,1 ml,SA,18
60136439,comprimé,96835,ARIPIPRAZOLE,15 mg,un comprimé,SA,1
60137021,solution,25681,LACOSAMIDE,10 mg,1 mL de solution,SA,1
60139257,gélule,93657,RACÉCADOTRIL,100 mg,une gélule,SA,1
60139563,comprimé,78924,OXALATE D'ESCITALOPRAM,,,SA,1
60140010,poudre,47372,CASPOFUNGINE BASE,50 mg,un flacon,FT,1
60140882,comprimé,96835,ARIPIPRAZOLE,10 mg,un comprimé,SA,1
60141614,comprimé,89276,FÉBUXOSTAT,120 mg,un comprimé,SA,1
60142043,comprimé,2064,HYDROCHLOROTHIAZIDE,25 mg,un comprimé,SA,2
60143654,comprimé,27387,CHLORHYDRATE D'ERLOTINIB,,,SA,1
60144119,solution,27309,DIFÉLIKÉFALINE,50 microgrammes,1 mL de solution,FT,1
60144464,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,,,SA,1
60145580,comprimé,10171,SIMVASTATINE,20 mg,un comprimé,SA,1
60145801,comprimé,38524,PANTOPRAZOLE,20 mg,un comprimé,FT,1
60148110,comprimé,4442,METFORMINE,780 mg,un comprimé,FT,2
60148167,solution,85873,PLÉRIXAFOR,20 mg,1 ml,SA,1
60148893,comprimé,38263,CARBONATE DE LANTHANE HYDRATÉ,,,SA,1
60149276,solution,4278,CHLORHYDRATE D'ÉPHÉDRINE,3 mg,1 ml,SA,1
60150015,liquide,62468,PHÉNYLBUTYRATE DE GLYCÉROL,"1,1 g",1 ml de liquide,SA,1
60150232,poudre,876,FOSFOMYCINE SODIQUE,,,SA,1
60150435,comprimé,900,BORAX,3CH à 30CH et 5DH à 60DH,un flacon,SA,17
60150467,comprimé,33803,CHLORHYDRATE DE DONÉPÉZIL,5 mg,un comprimé,SA,1
60150638,suspension,27775,RILPIVIRINE,900 mg,un flacon de 3 mL,SA,1
60150830,comprimé,527,GLICLAZIDE,60 mg,un comprimé,SA,1
60151124,comprimé,49207,CHLORHYDRATE DE MÉMANTINE,10 mg,un comprimé,SA,1
60151544,comprimé,5248,AMOXICILLINE ANHYDRE,1000 mg,un comprimé,FT,1
60151601,comprimé,21139,MYRRHA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
60151697,comprimé,2754,OFLOXACINE,200 mg,un comprimé,SA,1
60151843,solution,1068,ACIDE TRANEXAMIQUE,500 mg,une ampoule de 5 ml,SA,1
60152411,comprimé,2202,PARACÉTAMOL,325 mg,un comprimé,SA,1
60152436,suspension,17091,VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ ,720 U,"0,5 ml de suspension injectable",SA,1
60152607,solution,1261,BÉTAMÉTHASONE,"4,0 mg","une ampoule de 1,0 ml",FT,1
60153239,poudre,52951,ALPHA-1 ANTITRYPSINE HUMAINE ,"33,33 mg",1 mL de solution reconstituée,SA,1
60154017,comprimé,55485,RÉPAGLINIDE,"0,5 mg",un comprimé,SA,1
60154024,comprimé,338,DICHLORHYDRATE DE TRIMÉTAZIDINE,35 mg,un comprimé,SA,1
60154309,crème,4100,CALENDULA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,"0,88 g (TM)",un pot de 20 g de crème,SA,1
60154743,comprimé,98159,TADALAFIL,10 mg,un comprimé,SA,1
60155329,solution,2709,LACTULOSE,10 g,un sachet-dose de 15 ml,SA,1
60155667,solution,713,ÉTOPOSIDE,200 mg,10 ml,SA,1
60155788,gélule,42406,SERTRALINE BASE,25 mg,une gélule,FT,1
60156089,comprimé,17637,BICALUTAMIDE,"50,00 mg",un comprimé,SA,1
60156413,comprimé,3682,MALÉATE D'ÉNALAPRIL,20 mg,un comprimé,SA,2
60156662,comprimé,1623,KREOSOTUM POUR PRÉPARATIONS HOMÉOPATHIQUES,5CH à 30CH et 10DH à 60DH,un comprimé,SA,18
60158147,gel,37,DICLOFÉNAC SODIQUE,1 g,100 g de gel,FT,1
60158193,comprimé,26713,APIS MELLIFICA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,100 g de gel,SA,17
60159128,comprimé,3682,MALÉATE D'ÉNALAPRIL,5 mg,un comprimé,SA,1
60160479,comprimé,23247,IVABRADINE,5 mg,un comprimé,FT,1
60160707,comprimé,18265,CHLORHYDRATE DE PAROXÉTINE HÉMIHYDRATÉ,,,SA,1
60160835,comprimé,55721,CARBONATE DE SÉVÉLAMER,800 mg,un comprimé,SA,1
60160881,solution,41321,SOLVATE DE CABAZITAXEL 2-PROPANOL,,,SA,1
60161143,comprimé,11532,RAMIPRIL,10 mg,un comprimé,SA,1
60162494,comprimé,30646,DEXKÉTOPROFÈNE,25 mg,un comprimé,FT,1
60165234,granules,3296,FERRUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,6 DH,un comprimé,SA,13
60165394,gélule,39422,PRÉGABALINE,25 mg,une gélule,SA,1
60165857,comprimé,53763,MANIDIPINE (DICHLORHYDRATE DE),10 mg,un comprimé,SA,1
